SNBS 2.1 Hochbau - Nachweisliste;;;;Hinweis: Texte in braun gelten für Bildungsbauten;;;;Zuständigkeit;;;;;;;;;;;;;KP1;;;KP2;;Hilfstools;Nachweisdokumente und Verfahren;;;;;;
Thema;Kriterium;;Indikator;Messgrössen;Minergie;Minergie-ECO;Nutzungsprofil;Bauherrschaft;Nutzende;Architekt;Innenarchitekt;Elektroplaner;HLK-Planer;Bauphysiker;Verkehrsplaner;Landschaftsarchitekt;Umweltberater;FM-Experte;Bauökonom;Vermarktungs-Experte;1 Strategische Planung;2 Vorstudien;3 Projektierung;4 Ausschreibung;5 Realisierung;;Vorprüfung (Vorstudien);;Nachweis KP1 (Vorprojekt);;Nachweis KP2 (Bauabschluss);Kommentare;Benotung
;;;;2. Erhöhte Anforderungen;;;B;;;;;;;;;;;;;;;;;;;;• Zielvereinbarung Vorstudien (angestrebte Stufe der Hindernisfreiheit);;"• Pläne mit eingezeichneten Massnahmen
• Pläne mit eingezeichneten MassnahmenAusgefüllte Checkliste aus
Merkblatt 062 für Projektierungsphase";;"• Aktualisierte Pläne; Fotografien von umgesetzten Massnahmen
• Ausgefüllte Checkliste aus Merkblatt 062 für die Ausführungsphase";;
;"104 
Halböffentliche Räume";104.1;"Angebot 
halböffentlicher Innenräume";"1. Nutzungs- / Bewirtschaftungskonzept
2. Grundausstattung
3. Gestaltungsmöglichkeit
4. Zugänglichkeit für interne und externe Nutzerinnen und Nutzer";;;;x;x;x;x;;;;;;;;;;;;;;;SNBS-Vorlage 104.1‒Angebot halböffentliche Innenräume;"• Kontext-Indikator (Begründung Anwendung/Nichtanwendung)
• Zielvereinbarung strategische Planung (geplantes Angebot)";;"• Nutzungs- / Bewirtschaftungskonzept (vgl. SNBS-Vorlage)
• Nachweise zu Grundausstattung, Gestaltungsmöglichkeit und Zugänglichkeit
• Grundrisspläne
• Schemapläne Zugänglichkeit";;• Aktualisierte Dokumente;;
;;104.2;"Angebot 
halböffentlicher Aussenräume";"1. Nutzungs- / Bewirtschaftungskonzept
2. Grundausstattung
3. Gestaltungsmöglichkeit
4. Zugänglichkeit für interne und externe Nutzerinnen und Nutzer";;;;x;x;x;;;;;;x;;;;;;;;;;SNBS-Vorlage 104.2‒Angebot halböffentliche Aussenräume;"• Kontext-Indikator (Begründung Anwendung/Nichtanwendung)
• Zielvereinbarung strategische Planung (geplantes Angebot)";;"• Nutzungs-/Bewirtschaftungskonzept
• Nachweise zu Grundausstattung, Gestaltungsmöglichkeit und Zugänglichkeit
• Aussenraumpläne";;• Aktualisierte Dokumente;;
;;104.3;Subjektive Sicherheit;"1. Wegführung
2. Beleuchtung und Orientierung
3. Begegnungsfördernde Bereiche";;;;;;x;;;;;;x;;;;;;;;;;;-;;• Pläne Aussenraum, Grundrisspläne inkl. Fassadenansichten, Bezeichnung der begegnungsfördernden Bereiche, Beleuchtungskonzept;;• Aktualisierte Dokumente;;
;;105.1;"Nutzungsflexibilität 
und -variabilität";1. Nutzungsflexibilität und -variabilität;;;;;;x;;;;;;x;;;;;;;;;;;• Zielvereinbarung (Aspekte der Nutzungsflexibilität );;"• Konzept
• Projektpläne mit Angaben zu Umnutzbarkeit /Veränderbarkeit";;"• Aktualisiertes Konzept
• Aktualisierte Pläne
• Bauliche Umsetzung";;
;;105.2;"Gebrauchsqualität 
privater Innen- und Aussenräume";"1. Grundrisse
2. Privatsphäre
3. Ausstattng
4. Unmittelbarer Aussenraum";;;;;;x;x;;;;;x;;;;;;;;;;;• Zielvereinbarungen, Vorstudien, Nutzungskonzept (Nennung der Nutzergruppen, deren Bedürfnisse berücksichtig werden sollen);;"• Geschosspläne, Möblierungsvarianten; Umgebungsplan";;• Aktualisierte Dokumente;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"WOHLBEFINDEN 
UND GESUNDHEIT";"106 
Visueller und akustischer Komfort";106.1;Tageslicht;1. Tageslichterfüllungsgrad;;x;;;;x;;;;;;;;;;;;;;;;siehe Kommentar;-;;• Nachweis gemäss Minergie-ECO;;"• Ausschreibung Fenster gemäss Tageslichttool
• Aktualisierte Dokumente
• Angaben zu den effektiv eingebauten Fenstern";;
;;106.2;Schallschutz;"1. Schallschutz der Gebäudehülle und zwischen den Nutz–
ungseinheiten (Mindestanforderungen) ";;x;;;;;;;;;;;;;;;;;;;;;"• Zielvereinbarungen, Vorstudien (Anforderungen; potenzielle Schwachstellen)";;"• Schallschutznachweis gemäss SIA Norm 181 mit Nachweis für die betroffenen Bauteile oder Bestätigung Minergie-ECO Antrag (provisorisches
Zertifikat inkl. Antrag)";;• Bestätigung, dass der Schallschutz gemäss SIA-Norm 181 umgesetzt wurde oder ein definitives Minergie-ECO-Zertifikat inkl. Antrag.;;
;;;;"2. Schallschutz der Gebäudehülle und zwischen den Nutz–
ungseinheiten (erhöhte Anforderungen) ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;3. Schallschutz innerhalb der Nutzungseinheit ;;;;;;;;;;;;;;;;;;;;;;;-;;• Schallschutznachweis gemäss SIA-Norm 181:2020 mit Nachweis für die betroffenen Bauteile, resp. Beschrieb der Massnahmen oder Berechnungen oder Bestätigung Minergie-ECO Antrag (provisorisches Zertifikat inkl. Antrag).;;;;
;;;;4. Raumakustik;;;;;;x;;;;x;;;;;;;;;;;;;-;;"• Nachweis der Nachhallzeiten gemäss SIA-Norm 181, SUVA-Merkblatt «Akustische Grenz- und Richtwerte» Kapitel 3.2 oder DIN-Norm
18041 oder Bestätigung Minergie-ECO-Antrag (provisorisches Zertifikat inkl. Antrag)";;• Bestätigung, dass die Massnahmen korrekt umgesetzt wurden oder ein definitives Minergie-ECO-Zertifikat inkl. Antrag.;;
;107 Raumluftqualität;107.1;Raumluftqualität;1. Aussenluft-Volumenstrom;x;;;;;;;;;;;;;;;;;;;;;SNBS-Hilfstool 107.1‒Raumluft- qualität;• Vorgaben;;"• SNBS-Hilfstool
• Nachvollziehbare Berechnungen mit Plänen";;"• Aktualisiertes SNBS-Hilfstool
• Detaillierte, nachvollziehbare Berechnung mit Detailplänen und Informationen zu den
Komponenten.";;
;;;;2. Raumluftfeuchtigkeit;;;;;;;;;;;;;;;;;;;;;;;-;;"• SNBS-Hilfstool
• Lüftungskonzept und Datenblätter";;"• Aktualisiertes SNBS-Hilfstool
• Umsetzung des Lüftungskonzepts mit Detailplänen und Informationen zu den Komponenten und der Materialisierung.";;
;;;;3. Zuluftqualität;;;;;;;;;;;;;;;;;;;;;;;-;;"• SNBS-Hilfstool
• Lüftungskonzept, Datenblätter und Nachweisdokumente.";;"• Aktualisiertes SNBS-Hilfstool
• Umsetzung Lüftungskonzept mit Detailplänen und Informationen zu den Komponenten.";;
;;;;4. Betrieb/Instandhaltung/Funktionalität;;;;;;;;;x;x;;;;;;;;;;;;;-;;"• SNBS Hilfstool
• Planunterlagen, Datenblätter und Ausschreibungstexte";;"• Aktualisiertes SNBS-Hilfstool
• Entsprechende Nachweisdokumente der Umsetzung vor Ort inkl. Hygieneberichte und Wartungsverträge";;
;;107.2;Ionisierende und nicht ionisierende Strahlungen;1. Massnahmen zur Reduktion der Radonbelastung;;x;;;;;;x;;x;;;;;;;;;;;;;• Zielvereinbarungen strategische Planung (notwendige Schutzmassnahmen Radon);;"• Liste der vorgesehenen Massnahmen zur Reduktion der Radon-Belastung
• Erneuerung: Ergebnisse Radonmessungen";;• Liste der umgesetzten Massnahmen;;
;;;;2. Raumluftmessungen (Radon);;;;;;;;;;;;;;;;;;;;;;;-;;-;;• Ergebnisse Raumluftmessungen Radon;;
;;;;3. Nicht ionisierende Strahlung ;;;;;;;;;;;;;;;;;;;;;;;-;;• NIS-Zonenplan;;-;;
;;;;4. Nicht ionisierende Strahlung (Hauptleitungen);;;;;;;;;;;;;;;;;;;;;;;-;;• NIS-Zonenplan/Elektroplan mit eingezeichneten Hauptleitungen, Steigzonen und Starkstrom-Verteilanlagen.;;-;;
;;;;5. Nicht ionisierende Strahlung (Verlegung von Leitungen);;;;;;;;;;;;;;;;;;;;;;;-;;-;;• Elektroinstallationsplan, Produktedatenblatt;;
;"108 
Thermischer Komfort";108.1;Sommerlicher Wärmeschutz;1. Globalbeurteilung von Standardfällen;x;;;;;;;;;;;;;;;;;;;;;;-;;• Dokumentation der erwähnten Bedingungen inkl. Nachweis der max. zulässigen Glasflächenzahl oder Bestätigung Minergie-Antrag (provisorisches Minergie-Zertifikat);;• Fotos der umgesetzten Massnahmen, Nachweis g tot -Wert des eingesetzten aussenliegenden Sonnenschutzes und der Fensterverglasung oder definitives Minergie-Zertifikat;;
;;;;2. Nachtauskühlung, Sonnenschutz, Wärmespeicherfähigkeit;;;;;;;;;;;;;;;;;;;;;;«Minergie Nachweis sommerlicher Wärmschutz Variante 2», aktuelle Version;-;;• Nachweis mittels Minergie-Excel-Nachweis-Tool inkl. Dokumentation der Fenster und Bauteilflächen, Horizontwinkel, Bauteilmaterialisierung etc. oder Bestätigung des Minergie-Antrags (provisorisches MinergieZertifikat);;• Aktualisierung der Nachweisdokumente oder definitives Minergie-Zertifikat;;
;;;;3. Empfundene Temperatur;;;;;;;;;x;x;;;;;;;;;;;;;-;;• Nachweis inkl. Dokumentation der Simulationsparameter;;• Aktualisierung der Nachweisdokument;;
;;;;4. Empfundene Temperatur unter Berücksichtigung des zukünftigen Klimas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;108.2;Winterlicher Wärmeschutz;1. Heizwärmebedarf;x;;;;;;;;;;;;;;;;;;;;;;-;;• Energienachweis inkl. Dokumentation oder Bestätigung des Minergie-Antrags (provisorisches Minergie-Zertifikat);;• Ausführungsbestätigung, dass die Dämmmassnahmen gemäss dem Energienachweis umgesetzt wurden oder definitives Minergie-Zertifikat;;
;;;;2. Kaltluftabfall;;;;;;;;;;;;;;;;;;;;;;;-;;• Nachweis inkl. Berechnung und Dokumentation;;• Lieferscheine und Datenblatt eingesetztes Fensterglas;;
;;;;3. Luftdichtheit der Gebäudehülle;;;;;;;;;x;x;;;;;;;;;;;;;-;;"• Variante 1: Luftdichtheitskonzept gem. Norm SIA 180:2014, 3.6
• Variante 2: Luftdichtheitsmesskonzept gem. Minergie-P/-A (RiLuMi)";;"• Variante. 1: Fotodokumentation der Umsetzung des Luftdichtheitskonzept nach SIA 180:2014, 3.6 
• Variante 2: Messbericht Luftdichtheitsmessung gem. Anforderungen Minergie-P/-A, resp. SIA 180:2014";;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KOSTEN;201 Lebenszyklus-    betrachtung;201.1;Lebenszykluskosten;Quantitatives Verfahren (> 5'000 m2 GF);;;;;;;;;;;;;;x;x;;;;;;;siehe Kommentar;-;;Quantitativ (Neubau ≥5000 m2 ): z. B. IFMA-Tool (Stand Vorprojekt);;• Aktualisierte Dokumente;;
;;;;Qualitatives Verfahren (<5'000m2 GF);;;;;;;;;;;;;;;;;;;;;;;-;;"Qualitativ (Erneuerung oder Neubau <5000 m2):
• SNBS-Tool «Lebenszykluskosten qualitativ» (Stand Vorprojekt) mit dem entsprechenden Tabellenblatt
• Nachweisdokumente zur Umsetzung";;;;
;;201.2;Betriebskonzept;1. Betriebskonzept zum Objekt;;;;;;;;;;;;;;x;x;;;;;;;SNBS-Vorlage 201.2 Betriebskonzept;-;;-;;• Betriebskonzept (vgl. SNBS-Vorlage);;
;;;;2. Vollständigkeit und Aktualität der Plangrundlagen;;;;x;;;;;;;;;;;;;;;;;;;-;;-;;• Plangrundlagen;;
;202 Bausubstanz;202.1;Bauweise, Bauteile und Bausubstanz;"1. Zugänglichkeit vertikaler HT-Installationen
2. Zugänglichkeit horizontaler HT-Installationen";;x;;;;;;x;x;;;;;x;x;;;;;;;;-;;• Beschrieb Haustechnik-Konzept ergänzt mit Skizzen oder Plänen, welche die Zugänglichkeit der Installationen dokumentieren;;• Fotos;;
;;;;3. Bauliche Bedingungen für den Ersatz von Maschinen und Grossgeräten;;;;;;;;;;;;;;;;;;;;;;;-;;• Koordinationsplan Haustechnik. Vermasster Plan aller Technikräume und Zugänge zu den Technikräumen;-;;;
;;;;4. Rückbaubarkeit von Gebäudehülle und Sekundärstruktur;;;;;;;;;;;;;;;;;;;;;;;-;;• Detailpläne Fassade (Fensteranschluss, Dachabschluss und Sockel);;• Fotos aus der Ausführungsphase (Fenstermontage);;
;;;;5. Rückbaubarkeit von Gebäudetechnik und Tertiärstruktur;;;;;;;;;;;;;;;;;;;;;;;-;;-;;• Auszug Werkvertrag, Fotos aus der Ausführungsphase;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HANDELBARKEIT;"203 Eigentums-
verhältnisse";203.1;Entscheidungsfindung;1. Entscheidungsfindung;;;;x;;;;;;;;;;;;;;;;;;;-;;-;;• Kopie der relevanten Stellen in den juristischen Grundlagen (z.B. Vertrag, Statuten);;
;"204 
Nutzbarkeit des Grundstücks";204.1;Geologische Randbedingungen und Altlasten;1. Baugrund;;;;;;;;;;x;;;;;;;;;;;;;-;;• Auszug aus dem GIS oder - falls vorhanden - geologische Gutachten, Beschrieb;;-;;
;;;;2. Grundwasser und Gewässer;;;;;;;;;;;;;;;;;;;;;;;-;;• Auszug aus dem GIS - Gewässerschutzkarte, Grundwasserkarte;;-;;
;;;;3. Altlastenbelastung;;;;;;;;;;;;;;;;;;;;;;;-;;• Auszug aus dem GIS - Kataster für belastete Standorte, Art des Eintrags;;• Dokumentation zu Aushub / Entsorgung;;
;;204.2;Naturgefahren und Erdbebensicherheit;1. Gefährdung durch Naturgefahren (Standortqualität);;;;;;;;;;x;;;;;;;;;;;;siehe Kommentar;"• Zielvereinbarung strategische Planung: Abklärung der Gefährdung am Standort und der angestrebten Schutzziele gemäss SIA 261 und 261/1.
Erneuerungen:
• Abklärung der Notwendigkeit einer Überprüfung der Erdbebensicherheit gemäss SIA 269/8.";;• Ergebnisse der Abklärungen aus der Vorprüfung ;;• Nachweise zum erreichten Schutzziel;;
;;;;2. Gebäudequalität bezüglich Schutz vor Naturgefahren;;;;;;;;;;;;;;;;;;;;;;siehe Kommentar;-;;"Neubauten • Nachweis erreichter Schutzgrad gemäss SIA 261 und SIA 261/1 sowie Liste der vorgesehenen Massnahmen.
Erneuerungen • Falls die empfohlenen Schutzziele nicht erreicht werden: Liste der vorgesehenen Massnahmen mit Nachweis Verhältnismässigkeit";;"
Neubauten • Nachweis erreichter Schutzgrad gemäss SIA 261 und SIA 261/1 sowie Liste und Planungsgrundlagen der umgesetzten Massnahmen.
Erneuerungen • Falls die empfohlenen Schutzziele nicht erreicht werden: Liste der vorgesehenen Massnahmen mit Nachweis Verhältnismässigkeit";;
;;204.3;Technische Erschliessung;"1. Technische Erschliessung
2. Potenzial von Zusatzangeboten";;;;;;;;;x;x;;;;;;;;;;;;;-;;"• Stichwortartige Beschreibung
• Dokumente";;-;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERTRAGS-POTENTIAL;"205
Erreichbarkeit";205.1;Erreichbarkeit;1. ÖV-Güteklasse;;;;;;;;;;;;;;;;;;;;;;;-;;• Screenshot Geo-Map;;-;;
;;;;2. Gehdistanz zur nächststehenden Zentralität;;;;;;;;;;;;;;;;;;;;;;;-;;• Screenshot Geo-Map inkl. Angaben zur verwendeten Zentralität;;-;;
;;;;3. Sichere Wege;;;;;;;;;;;x;;;;;;;;;;;;-;;• Plan mit relevanten Wegen, Sicherheitsbewertung der relevanten Wege und Massnahmenplan;;-;;
;;205.2;Zugang Parzelle und verkehrstechnische Erschliessung;"1. Motorisierte Basiserschliessung
2. Erschliessung Fussverkehr
3. Erschliessung Veloverkehr";;;;;;;;;;;x;;;;;;;;;;;;• Zielvereinbarung strategische Planung (relevante Aspekte zur Erschliessung);;• Erschliessungsplan Grundstück und Umfeld;;• Aktualisierter Erschliessungsplan;;
;206 Marktpreise;206.1;Miet-/Verkaufspreise;Vermiet- und Verkaufsobjekte: Beurteilung der Marktkonformität;;;;;;;;;;;;;;;x;x;;;;;;;• Zielvereinbarung strategische Planung (Zielgruppen /Preissegment);;• Richtwert Miet-/Verkaufspreis;;• Realisierter Miet-/Verkaufspreis;;
;;;;Eigennutzung: kosteneffiziente Objektentwicklung;;;;;;;;;;;;;;;;;;;;;;;• Zielvereinbarung strategische Planung (Zielgruppe);;• Kostenvoranschlag;;• Revidierter Kostenvoranschlag Schlussabrechnung;;
;;;;Bildungsbauten: kosteneffektive Erstellung;;;B;;;;;;;;;;;;;;;;;;;siehe Kommentar;• Kostenschätzung mit nachvollziehbarer HNF-Berechnung (vgl. SNBS-Tool);;• Kostenschätzung mit nachvollziehbarer HNF-Berechnung (vgl. SNBS-Tool);;• Aktualisierte Berechnungen auf Basis des Kostenvoranschlags;;
;207 Bevölkerung und Arbeitsmarkt;207.1;Nachfrage und Nutzungsangebot: Wohnen/Verwaltung mit Vermietung oder Verkauf;1. Analyse Angebot und Nachfrage;;;W/V;;;;;;;;;;;;x;x;;;;;;;• Zielvereinbarung strategische Planung (Nutzungsmix, Zielgruppen);;• Dokumente Nachfrageanalyse − Beschreibung Zielgruppen, Wohnungsspiegel bzw. Übersicht Büro- und Gewebeeinheiten;;-;;
;;;;2. Vermarktung;;;;;;;;;;;;;;;;;;;;;;;• Zielvereinbarung strategische Planung (Nutzungsmix, Zielgruppen);;• Vermarktungsstrategie (vorgesehene Massnahmen);;• Dokumentation Vermarktungsmassnahmen;;
;;;;3. Vermietungs-/Verkaufsstand;;;;;;;;;;;;;;;;;;;;;;;-;;-;;• Vermietungs- und Verkaufsstand;;
;;;Nachfrage und Nutzungsangebot: Wohnen/Verwaltung mit Eigennutzung;1. Drittnutzungsfähigkeit;;;W/V;;;;;;;;;;;;;;;;;;;;-;;• Konzept Fremd- / Umnutzung, Nachweis Nachfrage;;• Schlusskosten;;
;;;;2. Belegungsstand;;;;;;;;;;;;;;;;;;;;;;;-;;-;;• Belegungsstand;;
;;;Nachfrage und Nutzungsangebot: Bildungsbauten;1. Drittnutzungsfähigkeit;;;B;;;;;;;;;;;;;;;;;;;;-;;• Konzept Drittnutzung;;• Buchungssystem;;
;;;;2. Nutzungsintensität;;;;;;;;;;;;;;;;;;;;;;;-;;• Konzept für erhöhte Nutzungsintensität;;• Stundenplan/Belegungsplan, Betriebskonzept;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REGIONAL-OEKONOMIE;208 Regionalökon. Potenzial;208.1;Regionale Wertschöpfung;1. Anteil der in der Region erteilten Aufträge am Investitionsvolumen;;;;;;;;;;;;;x;;;;;;;;;SNBS-Tool 208.1–Regionale Wertschöpfung;-;;-;;• Deklaration des Gesamtvolumens BKP 2 sowie der im regionalen Umfeld erteilten Aufträge (vgl. SNBS-Tool);;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ENERGIE;301 Energiebedarf;301.1;Energiebedarf Erstellung;1. Energiebedarf Erstellung;;x;;;;;;;x;;;;x;;;;;;;;;siehe Kommentar;-;;• SNBS-Tool Energie und THGE − Nachvollziehbare Berechnung der grauen Energie mit Plänen;;• Revidiertes SNBS-Tool − Detaillierte, nachvollziehbare Berechnung der grauen Energie mit Bauteilen und Plänen;;
;;301.2;Energiebedarf Betrieb;1. Primärenergie nicht erneuerbar Betrieb [kWh/m²a];x;;;;;;;;x;;;;;;;;;;;;;siehe Kommentar;"Für Mischnutzungen ist ggf. das SNBS-Tool «Energie und Treibhausgasemissionen aus Erstellung und Betrieb» je Nutzung separat auszufüllen und die nutzungsspezifischen Bewertungen ins SNBS-Online-Tool zu übertragen. 
− Energieversorgungskonzept ";;"• SNBS-Tool Energie und THGE 
• Nachweisformular «Minergie»,  oder RH II: Bericht Gebäude / RH-Datei, oder SIA-Tool 2040 
• Nachvollziehbare Bedarfsberechnungen der einzelnen Verwendungszwecke mit Plänen";;"• Revidierte Dokumente aus KP1
• Datenblätter und Werkverträge/Rechnungen Geräte und Leuchten";;
